date,rate_mean,rate_std,rate_max,rate_min,year_month
2010-01-01,114.16125052315849,0.5250952692969156,114.5749969482422,112.08999633789062,2010-01
2010-02-01,114.47267832074847,0.14983009036044248,114.6750030517578,114.19499969482422,2010-02
2010-03-01,114.06000026579827,0.13949413371594874,114.50499725341795,113.9000015258789,2010-03
2010-04-01,113.27483342488607,1.0071453506389192,113.875,110.8000030517578,2010-04
2010-05-01,113.31693513931766,0.7875571548247634,113.9000015258789,110.81999969482422,2010-05
2010-06-01,113.52433344523112,0.07159175029276459,113.7249984741211,113.375,2010-06
2010-07-01,112.93128983692456,0.3112449035536824,113.41000366210938,112.4749984741211,2010-07
2010-08-01,111.56693546746367,1.139024859919692,112.61499786376952,108.69000244140624,2010-08
2010-09-01,111.72716598510742,1.0365584206647935,112.6750030517578,108.93000030517578,2010-09
2010-10-01,110.77822605256111,1.03365726536321,111.6999969482422,108.72000122070312,2010-10
2010-11-01,111.01766637166341,0.857146812100636,111.63999938964844,108.47000122070312,2010-11
2010-12-01,110.4864506875315,0.9687753762435468,111.3000030517578,107.23999786376952,2010-12
2011-01-01,109.96370992352885,1.0354989833106174,111.0250015258789,106.69000244140624,2011-01
2011-02-01,110.1462481362479,1.00055932496186,110.96499633789062,107.12999725341795,2011-02
2011-03-01,109.58080611690399,1.0850790013972516,110.6999969482422,106.48999786376952,2011-03
2011-04-01,109.49161207411024,0.917931157569822,110.29000091552734,107.26000213623048,2011-04
2011-05-01,109.13182847217847,0.7334829141194681,109.83000183105467,106.8000030517578,2011-05
2011-06-01,108.92533340454102,0.9211315716310415,109.61000061035156,106.26000213623048,2011-06
2011-07-01,108.49209668559413,1.0526346639019215,109.45999908447266,106.77999877929688,2011-07
2011-08-01,108.68806408297631,1.242325132195648,109.86000061035156,105.83999633789062,2011-08
2011-09-01,109.52433319091797,0.695918646168258,110.16000366210938,107.3499984741211,2011-09
2011-10-01,109.31693563153667,1.147777071166147,110.0999984741211,106.22000122070312,2011-10
2011-11-01,110.51900049845378,2.143343479123293,113.87000274658205,106.7300033569336,2011-11
2011-12-01,113.35908541115381,0.6721341124691075,113.80666605631511,111.08999633789062,2011-12
2012-01-01,113.53123613583143,0.6307357361011474,113.91999816894533,110.83000183105467,2012-01
2012-02-01,116.8250003683156,2.703591954295304,121.86000061035156,113.5999984741211,2012-02
2012-03-01,124.88290282218686,3.716771629919328,130.85000610351562,119.43000030517578,2012-03
2012-04-01,128.24950052897137,1.9888203714058075,132.36000061035156,124.95999908447266,2012-04
2012-05-01,128.7388699439264,1.49066074159339,131.35000610351562,125.79000091552734,2012-05
2012-06-01,131.0719455295139,2.021504510906224,133.85000610351562,126.9499969482422,2012-06
2012-07-01,132.47811906055736,1.104204013663896,133.9250030517578,130.14999389648438,2012-07
2012-08-01,131.79516060121597,0.4859067174483198,132.33999633789062,129.9499969482422,2012-08
2012-09-01,131.25433349609375,1.0536548285980767,132.3000030517578,128.97000122070312,2012-09
2012-10-01,128.60967673024822,1.2042015560598585,130.00999450683594,125.30999755859376,2012-10
2012-11-01,129.77849985758465,0.8494445682140859,130.69000244140625,126.7699966430664,2012-11
2012-12-01,127.97258094049269,1.0980154070541475,130.15833028157553,125.86000061035156,2012-12
2013-01-01,126.60096716111705,0.736331864917106,127.5500030517578,124.23999786376952,2013-01
2013-02-01,126.58874974931989,0.48101497470575694,127.3499984741211,125.94000244140624,2013-02
2013-03-01,126.70499936995968,0.42761430702251785,127.38999938964844,126.0749969482422,2013-03
2013-04-01,125.73666687011719,0.5961895373781354,126.69000244140624,124.3499984741211,2013-04
2013-05-01,126.1372582220262,0.22905737714763993,126.61000061035156,125.54000091552734,2013-05
2013-06-01,127.3129981994629,1.5843896209390014,130.4499969482422,123.69000244140624,2013-06
2013-07-01,130.49773973034274,1.1076972280985715,131.55999755859375,128.00999450683594,2013-07
2013-08-01,131.65311702605217,0.7796826280857647,133.05999755859375,129.19000244140625,2013-08
2013-09-01,132.00361124674478,0.8634793280696276,132.91000366210938,129.24000549316406,2013-09
2013-10-01,130.44887198171307,0.9150254308076109,131.85000610351562,128.0399932861328,2013-10
2013-11-01,130.988333468967,0.07720540114604406,131.1300048828125,130.75,2013-11
2013-12-01,130.6988709152386,0.12834361470880712,131.07000732421875,130.5399932861328,2013-12
2014-01-01,130.46532317130797,0.4308038703051186,130.72500610351562,128.64999389648438,2014-01
2014-02-01,130.48285784040178,0.7499326883600329,130.97500610351562,127.5500030517578,2014-02
2014-03-01,130.52193475538684,0.09090703217751238,130.81666056315103,130.41000366210938,2014-03
2014-04-01,130.5121648152669,0.05458424894640309,130.67999267578125,130.44000244140625,2014-04
2014-05-01,130.172848773259,0.5893014315331379,130.6300048828125,127.75,2014-05
2014-06-01,130.18138715955945,0.05012131927432721,130.3249969482422,130.08999633789062,2014-06
2014-07-01,130.11774075415826,0.04024269828478902,130.2050018310547,130.02999877929688,2014-07
2014-08-01,130.01419461158014,0.26675862639807213,130.14999389648438,128.75,2014-08
2014-09-01,129.73883412679035,0.7957800051374228,130.27000427246094,127.22000122070312,2014-09
2014-10-01,130.3151619203629,0.5960834127343911,130.77499389648438,128.0,2014-10
2014-11-01,130.70183410644532,0.5213480201489182,131.04666646321616,128.5800018310547,2014-11
2014-12-01,131.05887185373615,0.05732644149476011,131.1750030517578,130.92999267578125,2014-12
2015-01-01,131.235109226678,0.7140601178996386,131.91000366210938,129.1699981689453,2015-01
2015-02-01,129.73714265369233,0.23765220404696238,130.08999633789062,129.11000061035156,2015-02
2015-03-01,129.84247400427378,0.15827382790031638,130.22000122070312,129.38999938964844,2015-03
2015-04-01,129.592333984375,0.4368591869444477,130.16000366210938,127.97000122070312,2015-04
2015-05-01,130.38193585795742,0.3382024375237938,130.94000244140625,129.5500030517578,2015-05
2015-06-01,130.81000010172525,0.1381682633028381,131.05999755859375,130.44000244140625,2015-06
2015-07-01,130.59032120243197,0.20386603325054573,131.30999755859375,130.35000610351562,2015-07
2015-08-01,130.8074212843372,0.3812983327617745,131.5,129.86000061035156,2015-08
2015-09-01,136.0296651204427,2.0952548553756025,138.11000061035156,131.42999267578125,2015-09
2015-10-01,137.9074193482758,0.6884181441471746,140.5500030517578,136.99000549316406,2015-10
2015-11-01,138.8000006781684,0.7172800001679509,139.85000610351562,137.49000549316406,2015-11
2015-12-01,139.83419209141886,1.2444819137524121,141.52999877929688,135.08999633789062,2015-12
2016-01-01,140.79290476152974,0.5654806738392546,141.86000061035156,139.88999938964844,2016-01
2016-02-01,141.00724108465786,0.6776727709037995,142.67999267578125,138.8800048828125,2016-02
2016-03-01,142.2438703967679,1.2778324149154228,145.85000610351562,140.35000610351562,2016-03
2016-04-01,142.62000003390844,0.7672202730237668,143.63999938964844,140.72999572753906,2016-04
2016-05-01,143.28677236905662,0.5805645617622168,144.7100067138672,142.0800018310547,2016-05
2016-06-01,143.13600006103516,1.2932828157684582,145.38999938964844,141.00999450683594,2016-06
2016-07-01,142.87354647728705,0.5381860616669073,144.52999877929688,141.80999755859375,2016-07
2016-08-01,142.55967909289944,0.4644054395902016,143.80999755859375,141.82000732421875,2016-08
2016-09-01,142.69333241780598,0.5788977679828619,143.6999969482422,141.2100067138672,2016-09
2016-10-01,143.87612915039062,0.549957802940925,145.35000610351562,142.69000244140625,2016-10
2016-11-01,145.1526667277018,0.6364772652452931,146.97000122070312,144.3300018310547,2016-11
2016-12-01,145.83752687515752,0.7759316261236711,147.85000610351562,144.30999755859375,2016-12
2017-01-01,146.63569887222783,0.6619465141376949,147.8800048828125,144.8000030517578,2017-01
2017-02-01,148.29928534371513,1.594380375507753,152.02999877929688,146.42999267578125,2017-02
2017-03-01,148.51161243069558,1.0026567848067829,151.52999877929688,146.75,2017-03
2017-04-01,149.46833292643228,1.1886312263005472,152.22999572753906,147.9600067138672,2017-04
2017-05-01,149.34709708921372,0.4983250351191956,150.4600067138672,148.6300048828125,2017-05
2017-06-01,149.6836664835612,0.4256323184812489,150.6999969482422,148.72999572753906,2017-06
2017-07-01,150.47919267223728,0.8833455209762798,153.5,148.9499969482422,2017-07
2017-08-01,150.02838725428427,0.6876408012905553,151.7899932861328,148.7100067138672,2017-08
2017-09-01,149.98777855767145,0.5274837805116672,151.3800048828125,149.13999938964844,2017-09
